ds,cpu,ram,trafico
2024-06-01,41.2,52.1,31.5
2024-07-01,43.5,54.3,33.8
2024-08-01,44.1,55.9,35.2
2024-09-01,46.8,57.4,37.6
2024-10-01,47.3,59.1,39.4
2024-11-01,49.2,61.5,41.8
2024-12-01,51.6,63.2,44.3
2025-01-01,52.4,65.8,46.7
2025-02-01,54.1,67.3,49.2
2025-03-01,55.8,69.1,51.6
2025-04-01,57.3,71.4,54.3
2025-05-01,58.9,73.2,56.8
2025-06-01,60.4,75.6,59.4
2025-07-01,62.1,77.3,62.1
2025-08-01,63.8,79.1,64.8
2025-09-01,65.2,80.8,67.3
2025-10-01,67.4,82.4,70.1
2025-11-01,68.9,84.1,72.6
2025-12-01,70.3,85.9,75.2
2026-01-01,71.8,87.3,77.8
2026-02-01,73.2,88.9,80.4
2026-03-01,74.6,90.1,83.1
2026-04-01,76.1,91.4,85.7
2026-05-01,77.5,92.8,88.3
